FIPS,Dems,Repub
27145,35690,41194
27147,9016,10068
27149,2780,2710
27151,2907,2184
27153,5277,6637
27155,1041,933
27157,5646,5935
27159,2882,4127
27161,4401,5212
27163,70281,64335
27165,2562,2526
27167,1550,1786
27169,16308,10974
27171,26343,37779
27173,2816,2579
28001,7630,5300
28003,3701,9752
28005,3320,4214
28007,3739,5209
28009,2224,2329
28011,9471,4487
28013,2242,4068
28015,2027,3886
28017,4053,3934
28019,1459,2624
28021,3561,632
28023,2727,4679
28025,6424,4412
28027,6947,2502
28029,7640,6683
28031,3826,5503
28033,19265,43510
28035,11622,15296
28037,1722,2896
28039,1398,7050
28041,1362,4358
28043,4995,6215
28045,3195,11614
28047,22175,37927
28049,68794,29187
28051,6945,1504
28053,3180,1243
28055,523,322
28057,1938,7240
28059,15534,32959
28061,4476,3660
28065,3924,2512
28063,3295,450
28067,8089,18726
28069,2876,1694
28071,7997,10278
28073,4694,16969
28075,13048,19368
28077,2513,4318
28079,3575,4509
28081,11769,22403
28083,8914,4105
28085,5505,10781
28087,13110,13934
28089,18034,24781
28091,3764,7350
28093,9573,6650
28095,7137,10165
28097,2244,2638
28099,2584,7205
28101,3063,6338
28103,4970,1507
28105,9326,9320
28107,8370,7515
28109,3727,16156
28111,1521,4040
28113,7958,7441
28115,2951,9656
28117,3020,7703
28119,2797,1334
28121,14235,47645
28123,4709,6205
28125,1722,784
28127,4393,6660
28129,1821,5715
28131,1746,4661
28133,7158,2900
28135,3646,2435
28137,4951,7639
28139,2514,6809
28141,1941,6195
28143,2917,864
28145,2727,8302
28147,3421,4244
28149,9502,9953
28151,12884,6274
28153,3860,6056
28155,1321,4032
28157,3498,1556
28159,4606,5473
28161,3104,3604
28163,5725,4219
29001,5735,5891
29003,3345,5279
29005,1000,1936
29007,4434,6167
29009,4630,9758
29011,1455,4414
29013,3271,4833
29015,3628,5757
29017,1690,3972
29019,46960,36803
29021,19157,19110
29023,5316,11805
29025,1812,2652
29027,7578,11388
29029,7772,14074
29031,12208,24767
29033,1535,2955
29035,986,1838
29037,19840,29691
29039,2060,4193
29041,1799,2338
29043,11876,25376
29045,1572,1782
29047,53720,54485
29049,4545,5709
29051,13952,24383
29053,2996,4902
29055,3911,6007
29057,1184,2864
29059,2656,4895
29061,1400,2263
29063,1692,2889
29065,2056,4655
29067,2140,4405
29069,4528,7034
29071,21251,27351
29073,2899,4763
29075,1235,1964
29077,55928,77393
29079,1580,3006
29081,1287,2512
29083,4869,6092
29085,2171,2850
29087,802,1791
29089,2020,2689
29091,5732,10974
29093,2213,2090
29095,210296,124531
29097,15718,31634
29099,53457,50793
29101,9474,12178
29103,758,1211
29105,5217,10872
29107,6891,9433
29109,5097,11260
29111,1836,2596
29113,10231,12921
29115,2635,3139
29117,2435,3993
29121,2784,4586
29123,2042,2897
29125,1598,2851
29127,4701,7702
29119,2454,5499
29129,519,1169
29131,3553,7797
29133,2247,3034
29135,2084,4467
29137,1703,2532
29139,2346,3426
29141,3565,5451
29143,3370,4593
29145,7450,17637
29147,4493,5568
29149,1811,2652
29151,1905,5061
29153,1661,2917
29155,3029,3954
29157,3005,5527
29159,6927,11012
29161,7393,11704
29163,3481,4262
29165,21454,24458
29167,4553,8956
29169,5251,9551
29171,695,1591
29173,2041,2987
